DATE,VOUCHER_NO,ACCOUNT_CODE,ACCOUNT_NAME,DEBIT_INR,CREDIT_INR,NARRATION,COUNTERPARTY
01-04-2024,JV-12250,ACC-64647,Bank A/c - HDFC Primary,0,850000,Lease rent LSE-101,TechPark Real Estate
01-04-2024,JV-12263,ACC-47102,Software Subscriptions - SaaS,150000,0,Lease rent LSE-102,City Plaza Commercial
01-04-2024,JV-12263,ACC-14252,Bank A/c - Payroll,0,150000,Lease rent LSE-102,City Plaza Commercial
01-04-2024,JV-12276,ACC-98439,Travel and Conveyance,1200000,0,Lease rent LSE-103,Global Logistics Infra
01-04-2024,JV-12276,ACC-64647,Bank A/c - HDFC Primary,0,1200000,Lease rent LSE-103,Global Logistics Infra
02-04-2024,JV-10163,ACC-59411,Marketing & Ad Spend,125018.69,0,UTR/405407//EXP,Generic Vendor 31 Pvt Ltd
02-04-2024,JV-10163,ACC-57994,Bank A/c - ICICI Current,0,125018.69,UTR/405407//EXP,Generic Vendor 31 Pvt Ltd
02-04-2024,JV-10462,ACC-49980,Repairs and Maintenance - Plant,15926.23,0,UTR/461264//EXP,Generic Vendor 28 Pvt Ltd
02-04-2024,JV-10462,ACC-14252,Bank A/c - Payroll,0,15926.23,UTR/461264//EXP,Generic Vendor 28 Pvt Ltd
02-04-2024,JV-10845,ACC-10250,Internet and Comm Charges,149889.45,0,UTR/406166//EXP,Generic Vendor 52 Pvt Ltd
02-04-2024,JV-10845,ACC-57994,Bank A/c - ICICI Current,0,149889.45,UTR/406166//EXP,Generic Vendor 52 Pvt Ltd
02-04-2024,JV-11542,ACC-59411,Marketing & Ad Spend,114208.44,0,UTR/703779//EXP,Generic Vendor 21 Pvt Ltd
02-04-2024,JV-11542,ACC-64647,Bank A/c - HDFC Primary,0,114208.44,UTR/703779//EXP,Generic Vendor 21 Pvt Ltd
03-04-2024,JV-10102,ACC-98439,Travel and Conveyance,41734.88,0,UTR/829716//EXP,Generic Vendor 52 Pvt Ltd
03-04-2024,JV-10102,ACC-57994,Bank A/c - ICICI Current,0,41734.88,UTR/829716//EXP,Generic Vendor 52 Pvt Ltd
03-04-2024,JV-10973,ACC-98439,Travel and Conveyance,86485.35,0,UTR/556526//EXP,Generic Vendor 39 Pvt Ltd
03-04-2024,JV-10973,ACC-64647,Bank A/c - HDFC Primary,0,86485.35,UTR/556526//EXP,Generic Vendor 39 Pvt Ltd
04-04-2024,JV-10005,ACC-50342,Legal & Professional Fees - Misc,77802.75,0,UTR/263032//EXP,Generic Vendor 18 Pvt Ltd
04-04-2024,JV-10005,ACC-14252,Bank A/c - Payroll,0,77802.75,UTR/263032//EXP,Generic Vendor 18 Pvt Ltd
04-04-2024,JV-11830,ACC-50342,Legal & Professional Fees - Misc,14322.7,0,UTR/734229//EXP,Generic Vendor 26 Pvt Ltd
04-04-2024,JV-11830,ACC-57994,Bank A/c - ICICI Current,0,14322.7,UTR/734229//EXP,Generic Vendor 26 Pvt Ltd
04-04-2024,JV-11917,ACC-28426,Trade Receivables - HQ,142689.67,0,UTR/201546//EXP,Generic Vendor 3 Pvt Ltd
04-04-2024,JV-11917,ACC-14252,Bank A/c - Payroll,0,142689.67,UTR/201546//EXP,Generic Vendor 3 Pvt Ltd
05-04-2024,JV-10211,ACC-47102,Software Subscriptions - SaaS,122937.13,0,UTR/177449//EXP,Generic Vendor 11 Pvt Ltd
05-04-2024,JV-10211,ACC-57994,Bank A/c - ICICI Current,0,122937.13,UTR/177449//EXP,Generic Vendor 11 Pvt Ltd
05-04-2024,JV-10582,ACC-47102,Software Subscriptions - SaaS,37537.74,0,UTR/688861//EXP,Generic Vendor 25 Pvt Ltd
05-04-2024,JV-10582,ACC-64647,Bank A/c - HDFC Primary,0,37537.74,UTR/688861//EXP,Generic Vendor 25 Pvt Ltd
05-04-2024,JV-10620,ACC-52512,Salaries & Wages - Exec,32048.63,0,UTR/857524//EXP,Generic Vendor 23 Pvt Ltd
05-04-2024,JV-10620,ACC-14252,Bank A/c - Payroll,0,32048.63,UTR/857524//EXP,Generic Vendor 23 Pvt Ltd
05-04-2024,JV-10660,ACC-10250,Internet and Comm Charges,137330.46,0,UTR/990247//EXP,Generic Vendor 25 Pvt Ltd
05-04-2024,JV-10660,ACC-64647,Bank A/c - HDFC Primary,0,137330.46,UTR/990247//EXP,Generic Vendor 25 Pvt Ltd
05-04-2024,JV-11064,ACC-89551,Office Supplies & Consumables,141675.12,0,UTR/821846//EXP,Generic Vendor 31 Pvt Ltd
05-04-2024,JV-11064,ACC-14252,Bank A/c - Payroll,0,141675.12,UTR/821846//EXP,Generic Vendor 31 Pvt Ltd
05-04-2024,JV-11656,ACC-19808,Utility Expenses - Electricity,111040.99,0,UTR/834312//EXP,Generic Vendor 10 Pvt Ltd
05-04-2024,JV-11656,ACC-14252,Bank A/c - Payroll,0,111040.99,UTR/834312//EXP,Generic Vendor 10 Pvt Ltd
05-04-2024,JV-11814,ACC-47102,Software Subscriptions - SaaS,150670.9,0,UTR/336444//EXP,Generic Vendor 22 Pvt Ltd
05-04-2024,JV-11814,ACC-14252,Bank A/c - Payroll,0,150670.9,UTR/336444//EXP,Generic Vendor 22 Pvt Ltd
06-04-2024,JV-10642,ACC-50342,Legal & Professional Fees - Misc,171683.87,0,UTR/642347//EXP,Generic Vendor 34 Pvt Ltd
06-04-2024,JV-10642,ACC-57994,Bank A/c - ICICI Current,0,171683.87,UTR/642347//EXP,Generic Vendor 34 Pvt Ltd
06-04-2024,JV-11039,ACC-89551,Office Supplies & Consumables,147322.22,0,UTR/242921//EXP,Generic Vendor 55 Pvt Ltd
06-04-2024,JV-11039,ACC-14252,Bank A/c - Payroll,0,147322.22,UTR/242921//EXP,Generic Vendor 55 Pvt Ltd
07-04-2024,JV-10154,ACC-52512,Salaries & Wages - Exec,86083.26,0,UTR/457256//EXP,Generic Vendor 29 Pvt Ltd
07-04-2024,JV-10154,ACC-57994,Bank A/c - ICICI Current,0,86083.26,UTR/457256//EXP,Generic Vendor 29 Pvt Ltd
07-04-2024,JV-10649,ACC-49980,Repairs and Maintenance - Plant,86502.33,0,UTR/257375//EXP,Generic Vendor 25 Pvt Ltd
07-04-2024,JV-10649,ACC-64647,Bank A/c - HDFC Primary,0,86502.33,UTR/257375//EXP,Generic Vendor 25 Pvt Ltd
07-04-2024,JV-10873,ACC-19808,Utility Expenses - Electricity,112839.42,0,UTR/564586//EXP,Generic Vendor 50 Pvt Ltd
07-04-2024,JV-10873,ACC-64647,Bank A/c - HDFC Primary,0,112839.42,UTR/564586//EXP,Generic Vendor 50 Pvt Ltd
07-04-2024,JV-11370,ACC-59411,Marketing & Ad Spend,26490.02,0,UTR/350675//EXP,Generic Vendor 19 Pvt Ltd
07-04-2024,JV-11370,ACC-64647,Bank A/c - HDFC Primary,0,26490.02,UTR/350675//EXP,Generic Vendor 19 Pvt Ltd
07-04-2024,JV-11808,ACC-47102,Software Subscriptions - SaaS,93738.51,0,UTR/256532//EXP,Generic Vendor 49 Pvt Ltd
07-04-2024,JV-11808,ACC-14252,Bank A/c - Payroll,0,93738.51,UTR/256532//EXP,Generic Vendor 49 Pvt Ltd
07-04-2024,JV-11901,ACC-98439,Travel and Conveyance,117058.34,0,UTR/503017//EXP,Generic Vendor 59 Pvt Ltd
07-04-2024,JV-11901,ACC-64647,Bank A/c - HDFC Primary,0,117058.34,UTR/503017//EXP,Generic Vendor 59 Pvt Ltd
08-04-2024,JV-10048,ACC-98439,Travel and Conveyance,32437.07,0,UTR/604740//EXP,Generic Vendor 32 Pvt Ltd
08-04-2024,JV-10048,ACC-64647,Bank A/c - HDFC Primary,0,32437.07,UTR/604740//EXP,Generic Vendor 32 Pvt Ltd
08-04-2024,JV-11157,ACC-19808,Utility Expenses - Electricity,42392.1,0,UTR/312686//EXP,Generic Vendor 43 Pvt Ltd
08-04-2024,JV-11157,ACC-57994,Bank A/c - ICICI Current,0,42392.1,UTR/312686//EXP,Generic Vendor 43 Pvt Ltd
09-04-2024,JV-10520,ACC-49980,Repairs and Maintenance - Plant,28521.91,0,UTR/847332//EXP,Generic Vendor 53 Pvt Ltd
09-04-2024,JV-10520,ACC-14252,Bank A/c - Payroll,0,28521.91,UTR/847332//EXP,Generic Vendor 53 Pvt Ltd
09-04-2024,JV-11325,ACC-89551,Office Supplies & Consumables,12921.64,0,UTR/856035//EXP,Generic Vendor 51 Pvt Ltd
09-04-2024,JV-11325,ACC-57994,Bank A/c - ICICI Current,0,12921.64,UTR/856035//EXP,Generic Vendor 51 Pvt Ltd
09-04-2024,JV-11603,ACC-98439,Travel and Conveyance,120099.36,0,UTR/924366//EXP,Generic Vendor 12 Pvt Ltd
09-04-2024,JV-11603,ACC-14252,Bank A/c - Payroll,0,120099.36,UTR/924366//EXP,Generic Vendor 12 Pvt Ltd
10-04-2024,JV-10314,ACC-10250,Internet and Comm Charges,34906.54,0,UTR/458332//EXP,Generic Vendor 14 Pvt Ltd
10-04-2024,JV-10314,ACC-57994,Bank A/c - ICICI Current,0,34906.54,UTR/458332//EXP,Generic Vendor 14 Pvt Ltd
10-04-2024,JV-11697,ACC-19808,Utility Expenses - Electricity,46415.74,0,UTR/979668//EXP,Generic Vendor 46 Pvt Ltd
10-04-2024,JV-11697,ACC-64647,Bank A/c - HDFC Primary,0,46415.74,UTR/979668//EXP,Generic Vendor 46 Pvt Ltd
11-04-2024,JV-10125,ACC-52512,Salaries & Wages - Exec,45222.45,0,UTR/801978//EXP,Generic Vendor 31 Pvt Ltd
11-04-2024,JV-10125,ACC-64647,Bank A/c - HDFC Primary,0,45222.45,UTR/801978//EXP,Generic Vendor 31 Pvt Ltd
11-04-2024,JV-10241,ACC-89551,Office Supplies & Consumables,46111.69,0,UTR/925206//EXP,Generic Vendor 9 Pvt Ltd
11-04-2024,JV-10241,ACC-57994,Bank A/c - ICICI Current,0,46111.69,UTR/925206//EXP,Generic Vendor 9 Pvt Ltd
11-04-2024,JV-11018,ACC-59411,Marketing & Ad Spend,65143.02,0,UTR/734992//EXP,Generic Vendor 44 Pvt Ltd
11-04-2024,JV-11018,ACC-64647,Bank A/c - HDFC Primary,0,65143.02,UTR/734992//EXP,Generic Vendor 44 Pvt Ltd
11-04-2024,JV-11530,ACC-28426,Trade Receivables - HQ,9161.27,0,UTR/794391//EXP,Generic Vendor 48 Pvt Ltd
11-04-2024,JV-11530,ACC-14252,Bank A/c - Payroll,0,9161.27,UTR/794391//EXP,Generic Vendor 48 Pvt Ltd
12-04-2024,JV-10469,ACC-19808,Utility Expenses - Electricity,122209.47,0,UTR/544730//EXP,Generic Vendor 35 Pvt Ltd
12-04-2024,JV-10469,ACC-57994,Bank A/c - ICICI Current,0,122209.47,UTR/544730//EXP,Generic Vendor 35 Pvt Ltd
12-04-2024,JV-10801,ACC-52512,Salaries & Wages - Exec,32910.3,0,UTR/845652//EXP,Generic Vendor 24 Pvt Ltd
12-04-2024,JV-10801,ACC-14252,Bank A/c - Payroll,0,32910.3,UTR/845652//EXP,Generic Vendor 24 Pvt Ltd
12-04-2024,JV-11391,ACC-19808,Utility Expenses - Electricity,174614.71,0,UTR/238440//EXP,Generic Vendor 35 Pvt Ltd
12-04-2024,JV-11391,ACC-57994,Bank A/c - ICICI Current,0,174614.71,UTR/238440//EXP,Generic Vendor 35 Pvt Ltd
13-04-2024,JV-10659,ACC-49980,Repairs and Maintenance - Plant,64316.99,0,UTR/827146//EXP,Generic Vendor 54 Pvt Ltd
13-04-2024,JV-10659,ACC-14252,Bank A/c - Payroll,0,64316.99,UTR/827146//EXP,Generic Vendor 54 Pvt Ltd
13-04-2024,JV-10890,ACC-71213,Outbound Freight & Logistics,94032.7,0,UTR/567200//EXP,Generic Vendor 33 Pvt Ltd
13-04-2024,JV-10890,ACC-57994,Bank A/c - ICICI Current,0,94032.7,UTR/567200//EXP,Generic Vendor 33 Pvt Ltd
14-04-2024,JV-10626,ACC-28426,Trade Receivables - HQ,39363.89,0,UTR/634273//EXP,Generic Vendor 39 Pvt Ltd
14-04-2024,JV-10626,ACC-57994,Bank A/c - ICICI Current,0,39363.89,UTR/634273//EXP,Generic Vendor 39 Pvt Ltd
14-04-2024,JV-10776,ACC-28426,Trade Receivables - HQ,179552.03,0,UTR/538897//EXP,Generic Vendor 17 Pvt Ltd
14-04-2024,JV-10776,ACC-57994,Bank A/c - ICICI Current,0,179552.03,UTR/538897//EXP,Generic Vendor 17 Pvt Ltd
14-04-2024,JV-11760,ACC-47102,Software Subscriptions - SaaS,61090.28,0,UTR/213253//EXP,Generic Vendor 13 Pvt Ltd
14-04-2024,JV-11760,ACC-14252,Bank A/c - Payroll,0,61090.28,UTR/213253//EXP,Generic Vendor 13 Pvt Ltd
15-04-2024,JV-10117,ACC-59411,Marketing & Ad Spend,121390.63,0,UTR/523956//EXP,Generic Vendor 52 Pvt Ltd
15-04-2024,JV-10117,ACC-57994,Bank A/c - ICICI Current,0,121390.63,UTR/523956//EXP,Generic Vendor 52 Pvt Ltd
15-04-2024,JV-10330,ACC-10250,Internet and Comm Charges,151534.2,0,UTR/451577//EXP,Delta Trading Corp
15-04-2024,JV-10330,ACC-64647,Bank A/c - HDFC Primary,0,151534.2,UTR/451577//EXP,Delta Trading Corp
15-04-2024,JV-11033,ACC-89551,Office Supplies & Consumables,66160.9,0,UTR/440998//EXP,Generic Vendor 59 Pvt Ltd
15-04-2024,JV-11033,ACC-14252,Bank A/c - Payroll,0,66160.9,UTR/440998//EXP,Generic Vendor 59 Pvt Ltd
15-04-2024,JV-11557,ACC-19808,Utility Expenses - Electricity,44680.96,0,UTR/360380//EXP,Generic Vendor 29 Pvt Ltd
15-04-2024,JV-11557,ACC-57994,Bank A/c - ICICI Current,0,44680.96,UTR/360380//EXP,Generic Vendor 29 Pvt Ltd
15-04-2024,JV-11663,ACC-71213,Outbound Freight & Logistics,48788.16,0,UTR/911763//EXP,Generic Vendor 54 Pvt Ltd
15-04-2024,JV-11663,ACC-14252,Bank A/c - Payroll,0,48788.16,UTR/911763//EXP,Generic Vendor 54 Pvt Ltd
16-04-2024,JV-10272,ACC-98439,Travel and Conveyance,96895.44,0,UTR/540226//EXP,Generic Vendor 25 Pvt Ltd
16-04-2024,JV-10272,ACC-14252,Bank A/c - Payroll,0,96895.44,UTR/540226//EXP,Generic Vendor 25 Pvt Ltd
16-04-2024,JV-10682,ACC-59411,Marketing & Ad Spend,78519.53,0,UTR/325146//EXP,Generic Vendor 23 Pvt Ltd
16-04-2024,JV-10682,ACC-14252,Bank A/c - Payroll,0,78519.53,UTR/325146//EXP,Generic Vendor 23 Pvt Ltd
16-04-2024,JV-10904,ACC-47102,Software Subscriptions - SaaS,97423.79,0,UTR/883028//EXP,Generic Vendor 9 Pvt Ltd
16-04-2024,JV-10904,ACC-64647,Bank A/c - HDFC Primary,0,97423.79,UTR/883028//EXP,Generic Vendor 9 Pvt Ltd
16-04-2024,JV-11475,ACC-98439,Travel and Conveyance,12354.88,0,UTR/622332//EXP,Generic Vendor 5 Pvt Ltd
16-04-2024,JV-11475,ACC-14252,Bank A/c - Payroll,0,12354.88,UTR/622332//EXP,Generic Vendor 5 Pvt Ltd
16-04-2024,JV-11813,ACC-10250,Internet and Comm Charges,105219,0,UTR/420415//EXP,Generic Vendor 9 Pvt Ltd
16-04-2024,JV-11813,ACC-64647,Bank A/c - HDFC Primary,0,105219,UTR/420415//EXP,Generic Vendor 9 Pvt Ltd
17-04-2024,JV-10164,ACC-49980,Repairs and Maintenance - Plant,128131.18,0,UTR/576086//EXP,Generic Vendor 45 Pvt Ltd
17-04-2024,JV-10164,ACC-57994,Bank A/c - ICICI Current,0,128131.18,UTR/576086//EXP,Generic Vendor 45 Pvt Ltd
17-04-2024,JV-11185,ACC-28426,Trade Receivables - HQ,151328.56,0,UTR/447195//EXP,Generic Vendor 20 Pvt Ltd
17-04-2024,JV-11185,ACC-14252,Bank A/c - Payroll,0,151328.56,UTR/447195//EXP,Generic Vendor 20 Pvt Ltd
17-04-2024,JV-11636,ACC-98439,Travel and Conveyance,79219.82,0,UTR/337701//EXP,Generic Vendor 40 Pvt Ltd
17-04-2024,JV-11636,ACC-57994,Bank A/c - ICICI Current,0,79219.82,UTR/337701//EXP,Generic Vendor 40 Pvt Ltd
17-04-2024,JV-11817,ACC-50342,Legal & Professional Fees - Misc,175972.07,0,UTR/695791//EXP,Generic Vendor 22 Pvt Ltd
17-04-2024,JV-11817,ACC-64647,Bank A/c - HDFC Primary,0,175972.07,UTR/695791//EXP,Generic Vendor 22 Pvt Ltd
17-04-2024,JV-11931,ACC-50342,Legal & Professional Fees - Misc,144037.27,0,UTR/972786//EXP,Generic Vendor 20 Pvt Ltd
17-04-2024,JV-11931,ACC-57994,Bank A/c - ICICI Current,0,144037.27,UTR/972786//EXP,Generic Vendor 20 Pvt Ltd
18-04-2024,JV-10736,ACC-71213,Outbound Freight & Logistics,162380.55,0,UTR/699245//EXP,Generic Vendor 52 Pvt Ltd
18-04-2024,JV-10736,ACC-14252,Bank A/c - Payroll,0,162380.55,UTR/699245//EXP,Generic Vendor 52 Pvt Ltd
19-04-2024,JV-10347,ACC-19808,Utility Expenses - Electricity,10753.71,0,UTR/143941//EXP,Generic Vendor 13 Pvt Ltd
19-04-2024,JV-10347,ACC-64647,Bank A/c - HDFC Primary,0,10753.71,UTR/143941//EXP,Generic Vendor 13 Pvt Ltd
20-04-2024,JV-10233,ACC-19808,Utility Expenses - Electricity,23553.33,0,UTR/663658//EXP,Generic Vendor 16 Pvt Ltd
20-04-2024,JV-10233,ACC-57994,Bank A/c - ICICI Current,0,23553.33,UTR/663658//EXP,Generic Vendor 16 Pvt Ltd
20-04-2024,JV-10437,ACC-50342,Legal & Professional Fees - Misc,159157.36,0,UTR/138105//EXP,Generic Vendor 12 Pvt Ltd
20-04-2024,JV-10437,ACC-57994,Bank A/c - ICICI Current,0,159157.36,UTR/138105//EXP,Generic Vendor 12 Pvt Ltd
20-04-2024,JV-10439,ACC-89551,Office Supplies & Consumables,103529.25,0,UTR/451317//EXP,Generic Vendor 7 Pvt Ltd
20-04-2024,JV-10439,ACC-57994,Bank A/c - ICICI Current,0,103529.25,UTR/451317//EXP,Generic Vendor 7 Pvt Ltd
20-04-2024,JV-10793,ACC-71213,Outbound Freight & Logistics,132326.66,0,UTR/437864//EXP,Generic Vendor 1 Pvt Ltd
20-04-2024,JV-10793,ACC-64647,Bank A/c - HDFC Primary,0,132326.66,UTR/437864//EXP,Generic Vendor 1 Pvt Ltd
20-04-2024,JV-10975,ACC-59411,Marketing & Ad Spend,111671.91,0,UTR/400384//EXP,Generic Vendor 34 Pvt Ltd
20-04-2024,JV-10975,ACC-57994,Bank A/c - ICICI Current,0,111671.91,UTR/400384//EXP,Generic Vendor 34 Pvt Ltd
20-04-2024,JV-11102,ACC-47102,Software Subscriptions - SaaS,30630.96,0,UTR/484914//EXP,Generic Vendor 17 Pvt Ltd
20-04-2024,JV-11102,ACC-57994,Bank A/c - ICICI Current,0,30630.96,UTR/484914//EXP,Generic Vendor 17 Pvt Ltd
20-04-2024,JV-11344,ACC-52512,Salaries & Wages - Exec,129944.18,0,UTR/192296//EXP,Generic Vendor 40 Pvt Ltd
20-04-2024,JV-11344,ACC-64647,Bank A/c - HDFC Primary,0,129944.18,UTR/192296//EXP,Generic Vendor 40 Pvt Ltd
21-04-2024,JV-10074,ACC-10250,Internet and Comm Charges,123725.8,0,UTR/207786//EXP,Generic Vendor 43 Pvt Ltd
21-04-2024,JV-10074,ACC-64647,Bank A/c - HDFC Primary,0,123725.8,UTR/207786//EXP,Generic Vendor 43 Pvt Ltd
21-04-2024,JV-10407,ACC-89551,Office Supplies & Consumables,27255.44,0,UTR/943019//EXP,Generic Vendor 22 Pvt Ltd
21-04-2024,JV-10407,ACC-64647,Bank A/c - HDFC Primary,0,27255.44,UTR/943019//EXP,Generic Vendor 22 Pvt Ltd
21-04-2024,JV-10633,ACC-89551,Office Supplies & Consumables,92670.08,0,UTR/847245//EXP,Generic Vendor 41 Pvt Ltd
21-04-2024,JV-10633,ACC-57994,Bank A/c - ICICI Current,0,92670.08,UTR/847245//EXP,Generic Vendor 41 Pvt Ltd
21-04-2024,JV-10880,ACC-50342,Legal & Professional Fees - Misc,108647.82,0,UTR/755744//EXP,Generic Vendor 50 Pvt Ltd
21-04-2024,JV-10880,ACC-57994,Bank A/c - ICICI Current,0,108647.82,UTR/755744//EXP,Generic Vendor 50 Pvt Ltd
21-04-2024,JV-10934,ACC-28426,Trade Receivables - HQ,21270.83,0,UTR/764343//EXP,Generic Vendor 34 Pvt Ltd
21-04-2024,JV-10934,ACC-57994,Bank A/c - ICICI Current,0,21270.83,UTR/764343//EXP,Generic Vendor 34 Pvt Ltd
21-04-2024,JV-11980,ACC-50342,Legal & Professional Fees - Misc,39502.69,0,UTR/192086//EXP,Generic Vendor 11 Pvt Ltd
21-04-2024,JV-11980,ACC-14252,Bank A/c - Payroll,0,39502.69,UTR/192086//EXP,Generic Vendor 11 Pvt Ltd
22-04-2024,JV-11060,ACC-71213,Outbound Freight & Logistics,24619.05,0,UTR/769536//EXP,Generic Vendor 31 Pvt Ltd
22-04-2024,JV-11060,ACC-14252,Bank A/c - Payroll,0,24619.05,UTR/769536//EXP,Generic Vendor 31 Pvt Ltd
22-04-2024,JV-11160,ACC-52512,Salaries & Wages - Exec,148906.15,0,UTR/428096//EXP,Generic Vendor 47 Pvt Ltd
22-04-2024,JV-11160,ACC-14252,Bank A/c - Payroll,0,148906.15,UTR/428096//EXP,Generic Vendor 47 Pvt Ltd
22-04-2024,JV-11163,ACC-49980,Repairs and Maintenance - Plant,98202.84,0,UTR/141158//EXP,Generic Vendor 48 Pvt Ltd
22-04-2024,JV-11163,ACC-14252,Bank A/c - Payroll,0,98202.84,UTR/141158//EXP,Generic Vendor 48 Pvt Ltd
22-04-2024,JV-11292,ACC-98439,Travel and Conveyance,115824.07,0,UTR/552760//EXP,Generic Vendor 55 Pvt Ltd
22-04-2024,JV-11292,ACC-14252,Bank A/c - Payroll,0,115824.07,UTR/552760//EXP,Generic Vendor 55 Pvt Ltd
22-04-2024,JV-11326,ACC-59411,Marketing & Ad Spend,40467.04,0,UTR/799731//EXP,Delta Trading Corp
22-04-2024,JV-11326,ACC-64647,Bank A/c - HDFC Primary,0,40467.04,UTR/799731//EXP,Delta Trading Corp
22-04-2024,JV-11518,ACC-47102,Software Subscriptions - SaaS,12792.93,0,UTR/188006//EXP,Generic Vendor 58 Pvt Ltd
22-04-2024,JV-11518,ACC-64647,Bank A/c - HDFC Primary,0,12792.93,UTR/188006//EXP,Generic Vendor 58 Pvt Ltd
22-04-2024,JV-11565,ACC-52512,Salaries & Wages - Exec,49071.62,0,UTR/616780//EXP,Generic Vendor 33 Pvt Ltd
22-04-2024,JV-11565,ACC-64647,Bank A/c - HDFC Primary,0,49071.62,UTR/616780//EXP,Generic Vendor 33 Pvt Ltd
22-04-2024,JV-11798,ACC-47102,Software Subscriptions - SaaS,112939.27,0,UTR/573066//EXP,Generic Vendor 28 Pvt Ltd
22-04-2024,JV-11798,ACC-14252,Bank A/c - Payroll,0,112939.27,UTR/573066//EXP,Generic Vendor 28 Pvt Ltd
23-04-2024,JV-10475,ACC-59411,Marketing & Ad Spend,44478.05,0,UTR/891030//EXP,Generic Vendor 14 Pvt Ltd
23-04-2024,JV-10475,ACC-57994,Bank A/c - ICICI Current,0,44478.05,UTR/891030//EXP,Generic Vendor 14 Pvt Ltd
23-04-2024,JV-10556,ACC-52512,Salaries & Wages - Exec,122912.53,0,UTR/889245//EXP,Generic Vendor 26 Pvt Ltd
23-04-2024,JV-10556,ACC-14252,Bank A/c - Payroll,0,122912.53,UTR/889245//EXP,Generic Vendor 26 Pvt Ltd
23-04-2024,JV-11130,ACC-19808,Utility Expenses - Electricity,13639.48,0,UTR/927524//EXP,Generic Vendor 13 Pvt Ltd
23-04-2024,JV-11130,ACC-64647,Bank A/c - HDFC Primary,0,13639.48,UTR/927524//EXP,Generic Vendor 13 Pvt Ltd
23-04-2024,JV-11987,ACC-49980,Repairs and Maintenance - Plant,36289.04,0,UTR/997670//EXP,Generic Vendor 20 Pvt Ltd
23-04-2024,JV-11987,ACC-64647,Bank A/c - HDFC Primary,0,36289.04,UTR/997670//EXP,Generic Vendor 20 Pvt Ltd
24-04-2024,JV-10010,ACC-28426,Trade Receivables - HQ,139833.1,0,UTR/996865//EXP,Generic Vendor 6 Pvt Ltd
24-04-2024,JV-10010,ACC-64647,Bank A/c - HDFC Primary,0,139833.1,UTR/996865//EXP,Generic Vendor 6 Pvt Ltd
24-04-2024,JV-10099,ACC-49980,Repairs and Maintenance - Plant,111195.49,0,UTR/176365//EXP,Generic Vendor 50 Pvt Ltd
24-04-2024,JV-10099,ACC-57994,Bank A/c - ICICI Current,0,111195.49,UTR/176365//EXP,Generic Vendor 50 Pvt Ltd
24-04-2024,JV-10206,ACC-10250,Internet and Comm Charges,54926.1,0,UTR/551607//EXP,Generic Vendor 24 Pvt Ltd
24-04-2024,JV-10206,ACC-64647,Bank A/c - HDFC Primary,0,54926.1,UTR/551607//EXP,Generic Vendor 24 Pvt Ltd
24-04-2024,JV-10402,ACC-59411,Marketing & Ad Spend,103939.85,0,UTR/480133//EXP,Generic Vendor 13 Pvt Ltd
24-04-2024,JV-10402,ACC-64647,Bank A/c - HDFC Primary,0,103939.85,UTR/480133//EXP,Generic Vendor 13 Pvt Ltd
24-04-2024,JV-10518,ACC-98439,Travel and Conveyance,166828.51,0,UTR/669408//EXP,Generic Vendor 58 Pvt Ltd
24-04-2024,JV-10518,ACC-14252,Bank A/c - Payroll,0,166828.51,UTR/669408//EXP,Generic Vendor 58 Pvt Ltd
